,index,id,image,title,description,runtimeStr,genres,genreList,contentRating,imDbRating,imDbRatingVotes,metacriticRating,plot,stars,starList,Genre_1,Genre_2,Genre_3
0,0,tt0099785,https://m.media-amazon.com/images/M/MV5BMzFkM2YwOTQtYzk2Mi00N2VlLWE3NTItN2YwNDg1YmY0ZDNmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_Ratio0.6763_AL_.jpg,Home Alone,1990,103 mins,"Comedy, Family","[{'key': 'Comedy', 'value': 'Comedy'}, {'key': 'Family', 'value': 'Family'}]",PG,7.7,644183,63,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve.",,[],Comedy, Family,
1,1,tt0100944,https://m.media-amazon.com/images/M/MV5BMjI1MDg5NzAyMV5BMl5BanBnXkFtZTgwNzU5Mzk4NjE@._V1_Ratio0.6763_AL_.jpg,The Witches,1990,91 mins,"Adventure, Comedy, Family","[{'key': 'Adventure', 'value': 'Adventure'}, {'key': 'Comedy', 'value': 'Comedy'}, {'key': 'Family', 'value': 'Family'}]",PG,6.8,54068,78,"A young boy stumbles onto a witch convention and must stop them, even after he has been turned into a mouse.",,[],Adventure, Comedy, Family
2,2,tt0099810,https://m.media-amazon.com/images/M/MV5BZDdkODg3YzctMGVmZS00ZDM5LWIzNTctZDRlMjA5Mjc4MGViXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_Ratio0.6763_AL_.jpg,The Hunt for Red October,1990,135 mins,"Action, Adventure, Thriller","[{'key': 'Action', 'value': 'Action'}, {'key': 'Adventure', 'value': 'Adventure'}, {'key': 'Thriller', 'value': 'Thriller'}]",PG,7.5,211894,58,"In November 1984, the Soviet Union's best submarine captain violates orders and heads for the U.S. in a new undetectable sub. The American CIA and military must quickly determine: Is he trying to defect or to start a war?",,[],Action, Adventure, Thriller
3,3,tt0099088,https://m.media-amazon.com/images/M/MV5BYjhlMGYxNmMtOWFmMi00Y2M2LWE5NWYtZTdlMDRlMGEzMDA3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6763_AL_.jpg,Back to the Future Part III,1990,118 mins,"Adventure, Comedy, Sci-Fi","[{'key': 'Adventure', 'value': 'Adventure'}, {'key': 'Comedy', 'value': 'Comedy'}, {'key': 'Sci-Fi', 'value': 'Sci-Fi'}]",PG,7.4,474698,55,"Stranded in 1955, Marty McFly learns about the death of Doc Brown in 1885 and must travel back in time to save him. With no fuel readily available for the DeLorean, the two must figure how to escape the Old West before Emmett is murdered.",,[],Adventure, Comedy, Sci-Fi
4,4,tt0100419,https://m.media-amazon.com/images/M/MV5BYzk3NGI4NjgtYTJkNS00NzBmLTllYTAtYzE1ZGJlOWQ0MDQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6763_AL_.jpg,Problem Child,1990,81 mins,"Comedy, Family","[{'key': 'Comedy', 'value': 'Comedy'}, {'key': 'Family', 'value': 'Family'}]",PG,5.4,32670,27,A young boy just short of a monster is adopted by a loving man and his wacky wife. The laughs keep coming as the boy pushes them to the limits.,,[],Comedy, Family,
5,5,tt0100758,https://m.media-amazon.com/images/M/MV5BNzg3NTQ4NDk5NV5BMl5BanBnXkFtZTgwNzMzNDg4NjE@._V1_Ratio0.6763_AL_.jpg,Teenage Mutant Ninja Turtles,1990,93 mins,"Action, Adventure, Comedy","[{'key': 'Action', 'value': 'Action'}, {'key': 'Adventure', 'value': 'Adventure'}, {'key': 'Comedy', 'value': 'Comedy'}]",PG,6.8,103507,51,Four teenage mutant ninja turtles emerge from the shadows to protect New York City from a gang of criminal ninjas.,,[],Action, Adventure, Comedy
6,6,tt0099422,https://m.media-amazon.com/images/M/MV5BMzA5MDg5ZDAtOWE1YS00Nzg2LTk5NzUtMDY3ZDZlN2U2M2ZlXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_Ratio0.6763_AL_.jpg,Dick Tracy,1990,105 mins,"Action, Comedy, Crime","[{'key': 'Action', 'value': 'Action'}, {'key': 'Comedy', 'value': 'Comedy'}, {'key': 'Crime', 'value': 'Crime'}]",PG,6.2,65086,68,The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.,,[],Action, Comedy, Crime
7,7,tt0100477,https://m.media-amazon.com/images/M/MV5BNjY1OWZkMjQtMDY0YS00ZGRiLTg1YjktMzlmZWQyZWMzZGI1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6763_AL_.jpg,The Rescuers Down Under,1990,77 mins,"Animation, Adventure, Comedy","[{'key': 'Animation', 'value': 'Animation'}, {'key': 'Adventure', 'value': 'Adventure'}, {'key': 'Comedy', 'value': 'Comedy'}]",G,6.8,46532,68,R.A.S. agents Miss Bianca and Bernard race to Australia to save a little boy and a rare golden eagle from a murderous poacher.,,[],Animation, Adventure, Comedy
8,8,tt0100240,https://m.media-amazon.com/images/M/MV5BNTZkNzNkMDYtYTIxYS00YjA4LWJkYmQtMTA0Njg0YjJmYmQ2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6763_AL_.jpg,The NeverEnding Story II: The Next Chapter,1990,89 mins,"Adventure, Drama, Family","[{'key': 'Adventure', 'value': 'Adventure'}, {'key': 'Drama', 'value': 'Drama'}, {'key': 'Family', 'value': 'Family'}]",PG,5.1,27269,30,A young boy with a distant father enters a world of make-believe and magic through a portal within an antique book.,,[],Adventure, Drama, Family
9,9,tt0099892,https://m.media-amazon.com/images/M/MV5BYWViOTc3M2ItZDI5Yy00OGMwLWEyYzMtNGY5NDBhMTkyZDkxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6763_AL_.jpg,Joe Versus the Volcano,1990,102 mins,"Comedy, Romance","[{'key': 'Comedy', 'value': 'Comedy'}, {'key': 'Romance', 'value': 'Romance'}]",PG,5.9,39457,45,"When a hypochondriac learns that he is dying, he accepts an offer to throw himself in a volcano at a tropical island, and along the way there, learns to truly live.",,[],Comedy, Romance,
10,10,tt0098966,https://m.media-amazon.com/images/M/MV5BZmVhY2M4ODMtYTIzYy00OTU4LWEyNTItOTkwMTA0OTlkN2I0XkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_Ratio0.6763_AL_.jpg,Three Men and a Little Lady,1990,104 mins,"Comedy, Drama, Family","[{'key': 'Comedy', 'value': 'Comedy'}, {'key': 'Drama', 'value': 'Drama'}, {'key': 'Family', 'value': 'Family'}]",PG,5.5,26323,51,"Three ex-dads quickly discover how empty life is without their little lady, and go to outrageous lengths in their efforts to win their daughter back in this critically acclaimed and equally charming sequel.",,[],Comedy, Drama, Family
11,11,tt0103129,https://m.media-amazon.com/images/M/MV5BNTg5ZmU4MmItNzU0MS00NGU2LWE3YjYtY2FjZDZiMTc4ZjBlXkEyXkFqcGdeQXVyMTk3NDAwMzI@._V1_Ratio0.6763_AL_.jpg,Truly Madly Deeply,1990,106 mins,"Comedy, Drama, Fantasy","[{'key': 'Comedy', 'value': 'Comedy'}, {'key': 'Drama', 'value': 'Drama'}, {'key': 'Fantasy', 'value': 'Fantasy'}]",PG,7.2,9896,72,A woman dealing with inconsolable grief over the death of her partner gets another chance when he returns to earth as a ghost.,,[],Comedy, Drama, Fantasy
12,12,tt0100998,https://m.media-amazon.com/images/M/MV5BZWY3NDU0ZWUtMDdlYS00NmIwLTg4YjktN2M4YzAxOGZjNmI0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_Ratio0.6763_AL_.jpg,Dreams,1990,119 mins,"Drama, Fantasy","[{'key': 'Drama', 'value': 'Drama'}, {'key': 'Fantasy', 'value': 'Fantasy'}]",PG,7.7,28653,,A collection of tales based upon eight of director Akira Kurosawa's recurring dreams.,,[],Drama, Fantasy,
13,13,tt0100519,https://m.media-amazon.com/images/M/MV5BNjc0MTU0MDY1OV5BMl5BanBnXkFtZTcwMDI2OTY2NA@@._V1_Ratio0.6763_AL_.jpg,Rosencrantz & Guildenstern Are Dead,1990,117 mins,"Comedy, Drama","[{'key': 'Comedy', 'value': 'Comedy'}, {'key': 'Drama', 'value': 'Drama'}]",PG,7.3,23615,,Two minor characters from the play 'Hamlet' stumble around unaware of their scripted lives and unable to deviate from them.,,[],Comedy, Drama,
14,14,tt0099615,https://m.media-amazon.com/images/M/MV5BNjMzZGE4YTctMzUxOS00OTYzLWI4YTAtNTdkZDFjYWQ5OGY4XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_Ratio0.6763_AL_.jpg,The Freshman,1990,102 mins,"Comedy, Crime","[{'key': 'Comedy', 'value': 'Comedy'}, {'key': 'Crime', 'value': 'Crime'}]",PG,6.5,21685,78,"An N.Y.C. film school student accepts a job with a local mobster who resembles a famous cinema godfather and who takes the young man under his wing, after demanding total loyalty.",,[],Comedy, Crime,
15,15,tt0099334,https://m.media-amazon.com/images/M/MV5BOGEzOGJkMzktODU0Zi00NTI5LWEyNmUtMjliMjY3ODMzMTdhXkEyXkFqcGdeQXVyNjA0Mzc0MzI@._V1_Ratio0.6763_AL_.jpg,Cyrano de Bergerac,1990,137 mins,"Comedy, Drama, History","[{'key': 'Comedy', 'value': 'Comedy'}, {'key': 'Drama', 'value': 'Drama'}, {'key': 'History', 'value': 'History'}]",PG,7.5,25664,79,"Famed swordsman and poet Cyrano de Bergerac is in love with his cousin Roxane. He has never expressed his love for her as he his large nose undermines his self-confidence. Then he finds a way to express his love to her, indirectly.",,[],Comedy, Drama, History
