,id,Genre_1,Genre_2,Genre_3
0,tt0099785,Comedy, Family,None
1,tt0099810,Action, Adventure, Thriller
2,tt0100758,Action, Adventure, Comedy
3,tt0099088,Adventure, Comedy, Sci-Fi
4,tt0099422,Action, Comedy, Crime
5,tt0100944,Adventure, Comedy, Family
6,tt0100419,Comedy, Family,None
7,tt0100477,Animation, Adventure, Comedy
8,tt0098966,Comedy, Drama, Family
9,tt0099892,Comedy, Romance,None
10,tt0100240,Adventure, Drama, Family
11,tt0100998,Drama, Fantasy,None
12,tt0099615,Comedy, Crime,None
13,tt0100519,Comedy, Drama,None
14,tt0100899,Comedy,None,None
15,tt0103129,Comedy, Drama, Fantasy
16,tt0099334,Comedy, Drama, History
17,tt0100631,Action, Comedy, Sport
18,tt0099726,Drama,None,None
19,tt0099327,Action, Adventure, Thriller
20,tt0099472,Animation, Adventure, Comedy
21,tt0099816,Adventure, Family,None
22,tt0100046,Drama, History,None
23,tt0099878,Animation, Comedy, Family
24,tt0100928,Adventure, Drama,None
25,tt0099512,Comedy, Crime, Family
26,tt0099073,Drama,None,None
27,tt0099018,Comedy, Drama,None
28,tt0099654,Comedy, Family, Fantasy
29,tt0099969,Drama,None,None
30,tt0100666,Adventure, Comedy, Sci-Fi
31,tt0097106,Comedy, Drama, Romance
32,tt0100791,Drama,None,None
33,tt0100281,Animation, Adventure, Family
34,tt0099669,Adventure, Biography, Drama
35,tt0109912,Adventure, Family, Fantasy
36,tt0099266,Adventure, Biography, Comedy
37,tt0102993,Adventure, Drama,None
38,tt0100151,Drama,None,None
39,tt0099341,Drama, Romance,None
40,tt0097115,Adventure, Drama, Family
41,tt0101951,Drama, Family, Western
42,tt0100470,Adventure, Drama,None
43,tt0101707,Drama,None,None
44,tt0100708,Comedy,None,None
45,tt0103150,Comedy, Drama, Fantasy
46,tt0099564,Action, Comedy, Sport
47,tt0097668,Adventure,None,None
48,tt0100102,Drama,None,None
49,tt0099857,Comedy, Drama,None
50,tt0100284,Comedy, Crime,None
51,tt0100812,Adventure,None,None
52,tt0099845,Documentary,None,None
53,tt0100411,Drama,None,None
54,tt0105109,Drama, Sport,None
55,tt0099092,Drama, Western,None
56,tt0098959,Drama, Fantasy, Romance
57,tt0099428,Comedy,None,None
58,tt0100287,Drama,None,None
59,tt0260871,Comedy, Musical,None
60,tt0320090,Drama, Romance,None
61,tt0139124,Drama, Romance,None
62,tt0099622,Action, Adventure, Drama
63,tt0100558,Action, Adventure, Biography
64,tt0095902,Adventure, Drama, Family
65,tt2275669,Crime, Drama, Music
66,tt0100915,Adventure, Family, Fantasy
67,tt3109026,Biography, Drama, Sport
68,tt0278909,Action, Drama,None
69,tt0099219,Drama,None,None
70,tt0102057,Adventure, Comedy, Family
71,tt0101414,Animation, Family, Fantasy
72,tt0102492,Comedy, Drama, Family
73,tt0101862,Comedy, Family, Romance
74,tt0102803,Action, Adventure, Family
75,tt0102975,Action, Adventure, Sci-Fi
76,tt0103241,Comedy,None,None
77,tt0103060,Action, Adventure, Comedy
78,tt0101635,Comedy, Drama, Family
79,tt0102603,Comedy, Crime,None
