,Comedy,Adventure,Drama,Action,Animation,Documentary,Biography,Family,Crime,Fantasy,Musical,Horror,Western,Sci-Fi,Romance,History,Mystery,Thriller,Sport,News,Music
1921,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
903,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1894,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1284,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2107,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3724,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1756,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2462,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2212,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3786,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
3195,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
831,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
247,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
952,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2353,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3740,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1749,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2098,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
650,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1904,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1146,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2603,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
175,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
278,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2928,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1717,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1360,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2163,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3318,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2258,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
691,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3932,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
416,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1263,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2696,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1907,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3513,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3427,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3106,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2477,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
727,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3502,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2522,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3179,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1793,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2090,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3390,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2481,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
897,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3230,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2358,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1068,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2743,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
644,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1413,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2426,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1839,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1580,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2382,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2177,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
794,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3539,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1614,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
734,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
505,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3475,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
888,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1947,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3393,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2554,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
532,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
108,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1808,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2726,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2375,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1822,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2932,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3696,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2473,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
